Location,Male,Female,Total
United States,14452,8322,22784
Alabama,101,75,176
Alaska,45,21,66
Arizona,338,224,562
Arkansas,110,59,169
California,1280,658,1938
Colorado,249,169,418
Connecticut,150,59,209
Delaware,62,51,113
District of Columbia,32,19,51
Florida,990,586,1576
Georgia,302,233,535
Hawaii,53,24,77
Idaho,44,33,77
Illinois,652,255,907
Indiana,219,137,356
Iowa,97,75,172
Kansas,69,49,118
Kentucky,428,241,669
Louisiana,62,54,116
Maine,56,29,85
Maryland,361,185,546
Massachusetts,454,201,655
Michigan,460,254,714
Minnesota,181,105,286
Mississippi,36,43,79
Missouri,394,201,595
Montana,32,31,63
Nebraska,28,25,53
Nevada,280,181,461
New Hampshire,97,57,154
New Jersey,322,132,454
New Mexico,163,80,243
New York,919,437,1356
North Carolina,491,331,822
North Dakota,NSD,NSD,10
Ohio,805,467,1272
Oklahoma,270,213,483
Oregon,244,148,392
Pennsylvania,504,248,752
Rhode Island,85,57,142
South Carolina,143,100,243
South Dakota,16,18,34
Tennessee,361,272,633
Texas,781,397,1178
Utah,214,167,381
Vermont,26,29,55
Virginia,351,224,575
Washington,397,300,697
West Virginia,354,196,550
Wisconsin,317,156,473
Wyoming,27,16,43
