Location,Male,Female,Total
United States,15990,9051,25052
Alabama,104,62,166
Alaska,48,21,69
Arizona,316,211,527
Arkansas,85,77,162
California,1285,663,1948
Colorado,259,174,433
Connecticut,305,134,439
Delaware,78,35,113
District of Columbia,44,16,60
Florida,767,501,1268
Georgia,317,213,530
Hawaii,46,23,69
Idaho,38,39,77
Illinois,770,302,1072
Indiana,250,110,360
Iowa,86,93,179
Kansas,86,72,158
Kentucky,430,235,665
Louisiana,178,87,265
Maine,79,46,125
Maryland,502,247,749
Massachusetts,616,272,888
Michigan,580,329,909
Minnesota,198,107,305
Mississippi,44,56,100
Missouri,391,229,620
Montana,33,34,67
Nebraska,20,21,41
Nevada,216,182,398
New Hampshire,112,45,157
New Jersey,466,209,675
New Mexico,203,119,322
New York,1181,500,1681
North Carolina,505,329,834
North Dakota,NSD,NSD,11
Ohio,1101,529,1630
Oklahoma,268,243,511
Oregon,165,136,301
Pennsylvania,650,308,958
Rhode Island,138,52,190
South Carolina,137,110,247
South Dakota,16,18,34
Tennessee,417,350,767
Texas,667,386,1053
Utah,260,172,432
Vermont,44,26,70
Virginia,399,241,640
Washington,359,281,640
West Virginia,317,173,490
Wisconsin,388,211,599
Wyoming,26,22,48
