"Location","0-24","25-34","35-44","45-54","55+","Total"
"United States","2770","7028","6338","6987","5522","28647"
"Alabama","25","70","56","66","53","270"
"Alaska","12","17","23","10","14","76"
"Arizona","62","131","106","122","168","589"
"Arkansas","17","31","50","51","24","173"
"California","178","374","320","504","648","2024"
"Colorado","46","141","115","106","109","517"
"Connecticut","45","127","136","147","70","525"
"Delaware","NSD","NSD","NSD","NSD","NSD","124"
"District of Columbia","NSD","NSD","NSD","27","24","63"
"Florida","99","358","315","332","295","1399"
"Georgia","89","188","157","155","121","710"
"Hawaii","NSD","NSD","NSD","18","21","59"
"Idaho","NSD","NSD","NSD","NSD","NSD","78"
"Illinois","127","314","282","282","200","1205"
"Indiana","58","128","110","102","64","462"
"Iowa","21","28","36","42","31","158"
"Kansas","18","40","28","44","43","173"
"Kentucky","51","175","182","186","135","729"
"Louisiana","23","73","61","55","48","260"
"Maine","11","52","38","46","24","171"
"Maryland","93","219","183","249","177","921"
"Massachusetts","103","345","270","279","143","1140"
"Michigan","103","258","228","257","206","1052"
"Minnesota","34","73","81","71","59","318"
"Mississippi","16","27","19","30","23","115"
"Missouri","76","185","155","177","103","696"
"Montana","NSD","NSD","NSD","NSD","NSD","53"
"Nebraska","NSD","17","16","11","NSD","56"
"Nevada","34","65","64","98","114","375"
"New Hampshire","31","97","62","67","40","297"
"New Jersey","91","181","156","189","111","728"
"New Mexico","31","95","98","93","85","402"
"New York","200","449","357","422","311","1739"
"North Carolina","93","243","252","231","147","967"
"North Dakota","NSD","11","10","NSD","NSD","31"
"Ohio","194","560","534","490","328","2106"
"Oklahoma","34","92","95","147","134","502"
"Oregon","32","78","62","78","90","340"
"Pennsylvania","169","306","245","222","149","1092"
"Rhode Island","11","55","51","49","39","205"
"South Carolina","40","81","118","148","128","515"
"South Dakota","NSD","12","NSD","NSD","NSD","33"
"Tennessee","49","196","214","263","141","863"
"Texas","143","285","240","249","234","1151"
"Utah","36","118","117","99","85","455"
"Vermont","NSD","NSD","NSD","NSD","NSD","64"
"Virginia","73","200","193","176","116","758"
"Washington","58","129","126","188","172","673"
"West Virginia","32","128","147","159","88","554"
"Wisconsin","67","161","131","151","117","627"
"Wyoming","NSD","14","NSD","16","12","54"
