"Location","Male","Female","Total"
"United States","28498","13751","42249"
"Alabama","218","125","343"
"Alaska","64","30","94"
"Arizona","497","272","769"
"Arkansas","91","78","169"
"California","1368","644","2012"
"Colorado","340","196","536"
"Connecticut","626","229","855"
"Delaware","105","49","154"
"District of Columbia","155","54","209"
"Florida","1934","864","2798"
"Georgia","557","361","918"
"Hawaii","50","27","77"
"Idaho","81","38","119"
"Illinois","1405","542","1947"
"Indiana","522","272","794"
"Iowa","121","62","183"
"Kansas","82","64","146"
"Kentucky","632","357","989"
"Louisiana","220","126","346"
"Maine","209","92","301"
"Maryland","1315","506","1821"
"Massachusetts","1451","539","1990"
"Michigan","1191","571","1762"
"Minnesota","275","121","396"
"Mississippi","108","72","180"
"Missouri","609","305","914"
"Montana","26","16","42"
"Nebraska","31","13","44"
"Nevada","225","183","408"
"New Hampshire","317","120","437"
"New Jersey","1034","375","1409"
"New Mexico","219","130","349"
"New York","2191","818","3009"
"North Carolina","926","580","1506"
"North Dakota","35","19","54"
"Ohio","2468","1145","3613"
"Oklahoma","230","214","444"
"Oregon","192","120","312"
"Pennsylvania","1585","650","2235"
"Rhode Island","197","82","279"
"South Carolina","393","235","628"
"South Dakota","23","19","42"
"Tennessee","686","500","1186"
"Texas","876","499","1375"
"Utah","284","182","466"
"Vermont","67","34","101"
"Virginia","761","369","1130"
"Washington","429","280","709"
"West Virginia","501","232","733"
"Wisconsin","553","313","866"
"Wyoming","23","27","50"
