"Location","0-24","25-34","35-44","45-54","55+","Total"
"United States","2464","4675","4761","5941","3247","21089"
"Alabama","24","61","43","44","15","187"
"Alaska","NSD","12","17","20","NSD","62"
"Arizona","86","138","116","168","118","626"
"Arkansas","30","53","47","35","24","189"
"California","201","304","349","573","502","1929"
"Colorado","38","64","65","90","47","304"
"Connecticut","25","38","63","76","21","223"
"Delaware","NSD","NSD","NSD","NSD","NSD","103"
"District of Columbia","NSD","NSD","10","14","NSD","34"
"Florida","171","409","369","452","273","1674"
"Georgia","74","107","126","148","79","534"
"Hawaii","NSD","NSD","NSD","NSD","NSD","74"
"Idaho","NSD","NSD","NSD","NSD","NSD","79"
"Illinois","126","219","214","217","91","867"
"Indiana","42","88","54","77","28","289"
"Iowa","15","28","39","51","14","147"
"Kansas","15","18","24","36","11","104"
"Kentucky","51","149","179","158","54","591"
"Louisiana","16","31","32","31","13","123"
"Maine","NSD","NSD","NSD","NSD","NSD","90"
"Maryland","62","120","119","156","52","509"
"Massachusetts","56","143","137","136","77","549"
"Michigan","85","154","139","206","111","695"
"Minnesota","29","54","50","67","35","235"
"Mississippi","NSD","NSD","NSD","NSD","NSD","100"
"Missouri","83","168","137","145","65","599"
"Montana","NSD","16","18","10","NSD","54"
"Nebraska","NSD","NSD","21","14","NSD","58"
"Nevada","46","71","95","123","104","439"
"New Hampshire","NSD","NSD","NSD","NSD","NSD","116"
"New Jersey","58","71","94","102","48","373"
"New Mexico","29","51","38","44","29","191"
"New York","127","199","244","332","172","1074"
"North Carolina","79","172","180","237","108","776"
"North Dakota","NSD","NSD","NSD","NSD","NSD","18"
"Ohio","113","264","275","320","152","1124"
"Oklahoma","47","109","122","142","90","510"
"Oregon","32","71","69","93","67","332"
"Pennsylvania","102","164","138","151","74","629"
"Rhode Island","NSD","NSD","NSD","NSD","NSD","111"
"South Carolina","27","60","56","91","37","271"
"South Dakota","NSD","NSD","12","NSD","NSD","32"
"Tennessee","62","141","149","201","80","633"
"Texas","186","236","223","298","180","1123"
"Utah","59","95","73","74","35","336"
"Vermont","NSD","NSD","NSD","NSD","NSD","43"
"Virginia","44","99","100","110","36","389"
"Washington","62","106","118","207","135","628"
"West Virginia","43","110","131","114","53","451"
"Wisconsin","41","93","93","123","65","415"
"Wyoming","NSD","11","13","14","NSD","47"
