"Location","Male","Female","Total"
"United States","13319","7770","21089"
"Alabama","117","70","187"
"Alaska","32","30","62"
"Arizona","372","254","626"
"Arkansas","101","88","189"
"California","1225","704","1929"
"Colorado","178","126","304"
"Connecticut","154","69","223"
"Delaware","58","45","103"
"District of Columbia","NSD","NSD","34"
"Florida","1104","570","1674"
"Georgia","311","223","534"
"Hawaii","52","22","74"
"Idaho","39","40","79"
"Illinois","596","271","867"
"Indiana","190","99","289"
"Iowa","86","61","147"
"Kansas","68","36","104"
"Kentucky","396","195","591"
"Louisiana","73","50","123"
"Maine","60","30","90"
"Maryland","328","181","509"
"Massachusetts","376","173","549"
"Michigan","442","253","695"
"Minnesota","136","99","235"
"Mississippi","53","47","100"
"Missouri","407","192","599"
"Montana","28","26","54"
"Nebraska","30","28","58"
"Nevada","242","197","439"
"New Hampshire","76","40","116"
"New Jersey","255","118","373"
"New Mexico","136","55","191"
"New York","728","346","1074"
"North Carolina","481","295","776"
"North Dakota","NSD","NSD","18"
"Ohio","725","399","1124"
"Oklahoma","304","206","510"
"Oregon","207","125","332"
"Pennsylvania","436","193","629"
"Rhode Island","75","36","111"
"South Carolina","154","117","271"
"South Dakota","19","13","32"
"Tennessee","396","237","633"
"Texas","694","429","1123"
"Utah","205","131","336"
"Vermont","25","18","43"
"Virginia","235","154","389"
"Washington","368","260","628"
"West Virginia","271","180","451"
"Wisconsin","250","165","415"
"Wyoming","25","22","47"
